file,batch_idx,task,path_ratio,path_length,chord_length,mean_endpoint_error,max_endpoint_error,mean_alignment,min_alignment,min_turning_cos
flow_000000_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0243862867355347,20.002601623535156,19.526424407958984,2.159623861312866,3.483574390411377,0.9860808849334717,0.9707663059234619,0.8868781924247742
flow_000000_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.035692572593689,18.973615646362305,18.31973648071289,2.4885244369506836,4.3632097244262695,0.9786512851715088,0.9645841717720032,0.8640254139900208
flow_000001_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0496158599853516,19.222049713134766,18.313413619995117,2.6987438201904297,3.739109754562378,0.9713365435600281,0.9397082328796387,0.7848705649375916
flow_000001_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.0547919273376465,18.5164737701416,17.554622650146484,2.833390712738037,4.016782760620117,0.9663395285606384,0.9314139485359192,0.7747758030891418
flow_000002_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0533380508422852,18.566457748413086,17.626304626464844,2.990442991256714,4.7474517822265625,0.9669510722160339,0.94857257604599,0.8162134289741516
flow_000002_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.0397344827651978,18.07272720336914,17.382061004638672,2.370990037918091,3.6300997734069824,0.9760936498641968,0.9532196521759033,0.8352506756782532
flow_000003_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0738024711608887,17.95093536376953,16.717166900634766,3.115253448486328,4.584961414337158,0.956558108329773,0.9138463735580444,0.7077892422676086
flow_000003_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.0398447513580322,15.960472106933594,15.348899841308594,2.3026857376098633,3.8801774978637695,0.9747350811958313,0.963939905166626,0.8687596321105957
flow_000004_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.1507689952850342,19.364917755126953,16.82780647277832,4.750441551208496,7.554300308227539,0.9074834585189819,0.8391355276107788,0.5364283919334412
flow_000004_pid3801425.npz,0,pick up the black bowl next to the ramekin and place it on the plate,1.0631883144378662,19.014842987060547,17.884737014770508,3.390622138977051,5.3908491134643555,0.9597578048706055,0.9415386915206909,0.8018069863319397
flow_000005_pid3801422.npz,0,pick up the black bowl between the plate and the ramekin and place it on the plate,1.0632288455963135,18.916828155517578,17.791868209838867,3.0824811458587646,4.458269119262695,0.9627000689506531,0.9252799153327942,0.7432922720909119
